id,user_id,iban,updated_at,created_at,balance,currency,blocked,status,account_type
-33,bnp_paribas,PL37129401860000000000000033,2024-05-28 21:00:00,2024-05-28 21:00:00,0,EUR,false,ACTIVE,BANK
-34,bnp_paribas,PL38137002860000000000000034,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-35,bnp_paribas,PL43157515860000000000000035,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-36,citi_handlowy,PL52527322430000000000000036,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-37,citi_handlowy,PL62502166430000000000000037,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-38,citi_handlowy,PL62540279430000000000000038,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-39,citi_handlowy,PL72540211430000000000000039,2024-05-28 21:00:00,2024-05-28 21:00:00,0,USD,false,ACTIVE,BANK
-40,citi_handlowy,PL72540572430000000000000040,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-41,citi_handlowy,PL93524658430000000000000041,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-42,citi_handlowy,PL94533737430000000000000042,2024-05-28 21:00:00,2024-05-28 21:00:00,0,EUR,false,ACTIVE,BANK
-43,credit_agricole,PL34850100570000000000000043,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-44,credit_agricole,PL63812628570000000000000044,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-45,getin_bank,PL13204790640000000000000045,2024-05-28 21:00:00,2024-05-28 21:00:00,0,USD,false,ACTIVE,BANK
-46,getin_bank,PL33248366640000000000000046,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-47,getin_bank,PL56209205640000000000000047,2024-05-28 21:00:00,2024-05-28 21:00:00,0,EUR,false,ACTIVE,BANK
-48,getin_bank,PL64265240640000000000000048,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-49,getin_bank,PL73265558640000000000000049,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-50,mbank,PL12315046430000000000000050,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-51,mbank,PL56354895430000000000000051,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-52,pko_bank_polski,PL23942280250000000000000052,2024-05-28 21:00:00,2024-05-28 21:00:00,0,EUR,false,ACTIVE,BANK
-53,pko_bank_polski,PL51913215250000000000000053,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-54,pko_bank_polski,PL53919332250000000000000054,2024-05-28 21:00:00,2024-05-28 21:00:00,0,USD,false,ACTIVE,BANK
-55,pko_bank_polski,PL57913216250000000000000055,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-56,toyota_bank,PL23430269980000000000000056,2024-05-28 21:00:00,2024-05-28 21:00:00,0,PLN,false,ACTIVE,BANK
-57,toyota_bank,PL26422205980000000000000057,2024-05-28 21:00:00,2024-05-28 21:00:00,0,USD,false,ACTIVE,BANK
-58,toyota_bank,PL88434935980000000000000058,2024-05-28 21:00:00,2024-05-28 21:00:00,0,EUR,false,ACTIVE,BANK

